Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,AdjClose,AdjFactor
2005-07-12,YESBANK,EQ,45.0,65.9,70.0,60.0,60.55,60.85,62.3,48988303,3.0521324823e+14,,15641245,0.3193,12.17,5.0
2005-07-13,YESBANK,EQ,60.85,61.0,63.0,57.45,59.3,58.7,60.21,12822324,7.7200653145e+13,,4502228,0.3511,11.74,5.0
2005-07-14,YESBANK,EQ,58.7,60.0,60.0,57.0,57.0,57.25,57.88,3256573,1.8849695775e+13,,1351714,0.4151,11.45,5.0
2005-07-15,YESBANK,EQ,57.25,56.25,64.45,56.25,61.8,61.85,61.62,15089606,9.298833268e+13,,3530566,0.234,12.37,5.0
2005-07-18,YESBANK,EQ,61.85,62.7,65.7,62.5,64.25,64.1,64.39,15136955,9.747410704e+13,,4145958,0.2739,12.82,5.0
2005-07-19,YESBANK,EQ,64.1,65.0,65.0,63.1,64.15,63.95,63.88,5089187,3.2511246905e+13,,2053492,0.4035,12.79,5.0
2005-07-20,YESBANK,EQ,63.95,64.1,64.85,63.0,63.7,63.5,63.77,1881334,1.1997969765e+13,,1070031,0.5688,12.7,5.0
2005-07-21,YESBANK,EQ,63.5,63.9,64.0,62.25,62.5,62.5,63.17,2032914,1.2842374005e+13,,1271909,0.6257,12.5,5.0
2005-07-22,YESBANK,EQ,62.5,62.8,63.0,61.8,62.0,62.05,62.5,1005201,6.28237518e+12,,549834,0.547,12.41,5.0
2005-07-25,YESBANK,EQ,62.05,63.0,63.0,61.1,61.1,61.4,61.72,1080697,6.670504255e+12,,628107,0.5812,12.28,5.0
2005-07-26,YESBANK,EQ,61.4,61.6,64.0,61.0,62.45,62.45,62.5,2329540,1.456019448e+13,,1009630,0.4334,12.49,5.0
2005-07-27,YESBANK,EQ,62.45,63.3,64.5,62.35,63.25,63.55,63.56,2496204,1.5865150885e+13,,1148775,0.4602,12.71,5.0
2005-07-29,YESBANK,EQ,63.55,63.55,64.25,62.0,62.85,62.45,63.16,1237293,7.81484034e+12,,628365,0.5079,12.49,5.0
2005-08-01,YESBANK,EQ,62.45,63.05,64.3,62.75,63.55,63.3,63.49,3590938,2.2797812745e+13,,1971587,0.549,12.66,5.0
2005-08-02,YESBANK,EQ,63.3,64.0,74.3,64.0,70.8,71.6,70.03,30856711,2.1610412579e+14,,7887260,0.2556,14.32,5.0
2005-08-03,YESBANK,EQ,71.6,72.5,72.85,68.15,69.75,69.55,70.73,11393327,8.058556198e+13,,2731185,0.2397,13.91,5.0
2005-08-04,YESBANK,EQ,69.55,70.0,73.7,69.6,71.75,71.7,72.06,8579606,6.182394732e+13,,1710590,0.1994,14.34,5.0
2005-08-05,YESBANK,EQ,71.7,71.5,72.75,71.0,71.55,71.55,71.76,2616074,1.8773184195e+13,,890202,0.3403,14.31,5.0
2005-08-08,YESBANK,EQ,71.55,71.95,72.35,70.45,70.7,70.65,71.13,2154325,1.5323355085e+13,,1128357,0.5238,14.13,5.0
2005-08-09,YESBANK,EQ,70.65,70.9,71.15,68.55,70.0,69.7,69.84,1503631,1.050154189e+13,,711174,0.473,13.94,5.0
2005-08-10,YESBANK,EQ,69.7,70.0,73.5,70.0,71.3,71.5,72.03,3291467,2.3707801345e+13,,910309,0.2766,14.3,5.0
2005-08-11,YESBANK,EQ,71.5,71.95,72.8,71.2,71.2,71.65,71.96,1786252,1.2854267015e+13,,913601,0.5115,14.33,5.0
2005-08-12,YESBANK,EQ,71.65,71.5,71.9,70.5,70.5,70.7,71.11,901987,6.414016095e+12,,468778,0.5197,14.14,5.0
2005-08-16,YESBANK,EQ,70.7,70.9,71.45,69.0,69.4,69.45,70.03,1088402,7.62181905e+12,,558153,0.5128,13.89,5.0
2005-08-17,YESBANK,EQ,69.45,69.4,70.9,68.75,68.9,69.05,69.71,1035964,7.22129607e+12,,581606,0.5614,13.81,5.0
2005-08-18,YESBANK,EQ,69.05,69.7,70.05,68.55,69.0,68.95,69.13,964612,6.668318165e+12,,586913,0.6084,13.79,5.0
2005-08-19,YESBANK,EQ,68.95,69.65,69.65,67.4,67.85,67.9,68.3,814334,5.56196142e+12,,539290,0.6622,13.58,5.0
2005-08-22,YESBANK,EQ,67.9,68.5,68.6,66.25,66.45,66.7,66.93,916142,6.131919955e+12,,658468,0.7187,13.34,5.0
2005-08-23,YESBANK,EQ,66.7,67.45,67.45,63.9,64.75,64.6,64.95,1476367,9.588682895e+12,,1088996,0.7376,12.92,5.0
2005-08-24,YESBANK,EQ,64.6,64.2,65.9,63.9,64.75,64.65,64.46,616478,3.9738718e+12,,357198,0.5794,12.93,5.0
