scrip,type,date,price,quantity
SAKUMA,Buy,05/08/09,13.60,50
SATYAMCOMP,Buy,05/08/09,110.45,85
SUZLON,Sell,10/08/09,85.85,10
PTC,Buy,10/08/09,88.90,50
SATYAMCOMP,Buy,10/08/09,100.90,45
SUZLON,Buy,10/08/09,84.00,10
TATASTEEL,Sell,12/08/09,450.70,10
TATASTEEL,Buy,12/08/09,441.35,10
ONGC,Buy,18/08/09,1182.65,4
FCSSOFT,Buy,19/08/09,70.82,80
SATYAMCOMP,Sell,20/08/09,99.20,85
BALAJITELE,Buy,24/08/09,64.15,100
526899,Buy,26/08/09,32.15,60
CAIRN,Buy,01/09/09,266.00,56
SYNDIBANK,Buy,18/09/09,87.30,400
SYNDIBANK,Sell,30/09/09,90.55,50
BALAJITELE,Sell,30/09/09,74.30,100
SATYAMCOMP,Sell,30/09/09,120.30,45
SYNDIBANK,Sell,30/09/09,90.70,50
SYNDIBANK,Sell,30/09/09,90.75,50
SYNDIBANK,Sell,30/09/09,90.85,25
SYNDIBANK,Sell,30/09/09,90.75,75
SYNDIBANK,Sell,30/09/09,91.00,25
SYNDIBANK,Sell,30/09/09,91.80,25
SYNDIBANK,Sell,30/09/09,91.80,25
SYNDIBANK,Sell,30/09/09,92.55,25
SYNDIBANK,Sell,30/09/09,92.85,25
SYNDIBANK,Sell,30/09/09,93.00,25
TCS,Buy,05/10/09,624.10,65
TCS,Buy,05/10/09,615.00,12
ONGC,Buy,14/10/09,1259.00,19
FCSSOFT,Sell,20/10/09,13.85,800
ICICIBANK,Buy,30/10/09,795.00,62
SAKUMA,Sell,05/11/09,10.55,50
ONGC,Sell,05/11/09,1125.00,23
NAVNETEDUL,Buy,09/11/09,41.51,625
JINDALSAW,Buy,25/11/09,909.00,55
526899,Sell,14/12/09,39.10,59
CAIRN,Sell,14/12/09,270.00,56
PTC,Sell,14/12/09,104.35,50
BERGEPAINT,Buy,15/12/09,63.70,355
TCS,Sell,30/12/09,745.00,77
JSWISPAT,Buy,30/12/09,22.20,1130
BALAJITELE,Buy,30/12/09,62.30,415
ICICIBANK,Sell,04/01/10,879.25,62
FCSSOFT,Buy,04/01/10,16.30,3100
FCSSOFT,Buy,04/01/10,15.45,530
FCSSOFT,Sell,13/01/10,14.30,3630
JINDALSAW,Sell,13/01/10,205.80,275
SONATSOFTW,Buy,14/01/10,57.00,660
SONATSOFTW,Sell,27/01/10,55.82,660
BALAJITELE,Sell,27/01/10,56.85,415
NAVNETEDUL,Sell,27/01/10,46.60,625
JSWISPAT,Sell,27/01/10,20.00,1130
BERGEPAINT,Sell,27/01/10,57.40,355
UNIONBANK,Sell,28/01/10,255.60,400
SONATSOFTW,Buy,28/01/10,55.00,1800
SONATSOFTW,Buy,28/01/10,54.50,3600
UNIONBANK,Sell,28/01/10,257.00,400
SONATSOFTW,Sell,28/01/10,53.54,5400
SONATSOFTW,Sell,28/01/10,53.24,5400
SONATSOFTW,Buy,28/01/10,54.38,5400
UNIONBANK,Buy,28/01/10,256.88,800
CGPOWER,Buy,28/01/10,415.66,250
CGPOWER,Buy,28/01/10,415.83,250
CGPOWER,Buy,28/01/10,415.94,500
CGPOWER,Buy,28/01/10,416.40,250
CGPOWER,Buy,28/01/10,423.95,60
CGPOWER,Sell,28/01/10,427.75,1310
CGPOWER,Buy,29/01/10,417.36,500
CGPOWER,Buy,29/01/10,414.39,500
CGPOWER,Buy,29/01/10,415.50,400
CGPOWER,Sell,29/01/10,433.86,1400
NAVNETEDUL,Buy,01/02/10,48.00,750
NAVNETEDUL,Buy,01/02/10,48.20,500
NAVNETEDUL,Buy,01/02/10,48.00,1000
NAVNETEDUL,Buy,01/02/10,47.83,1000
SUZLON,Sell,01/02/10,76.53,6944
NAVNETEDUL,Buy,01/02/10,48.64,5000
NAVNETEDUL,Buy,01/02/10,48.33,2500
NAVNETEDUL,Buy,01/02/10,48.97,3000
NAVNETEDUL,Sell,01/02/10,48.20,750
NAVNETEDUL,Sell,01/02/10,48.10,12750
NAVNETEDUL,Sell,01/02/10,48.05,250
SUZLON,Buy,01/02/10,78.00,4944
SUZLON,Buy,01/02/10,78.70,2000
SPANCO,Buy,02/02/10,71.65,700
KRBL,Buy,02/02/10,249.00,1000
KRBL,Buy,02/02/10,251.10,714
KRBL,Buy,02/02/10,258.86,500
KRBL,Sell,02/02/10,258.00,500
KRBL,Buy,02/02/10,257.00,500
KRBL,Buy,02/02/10,248.50,300
KRBL,Buy,02/02/10,246.10,250
KRBL,Sell,02/02/10,244.74,2764
KRBL,Buy,02/02/10,245.82,200
SPICETELE,Sell,03/02/10,64.58,2000
SPICETELE,Sell,03/02/10,64.00,2000
SPICETELE,Buy,03/02/10,64.00,4000
TITAN,Buy,03/02/10,1738.99,100
TITAN,Buy,03/02/10,1734.27,80
TITAN,Sell,03/02/10,1742.00,180
SPANCO,Buy,05/02/10,69.00,350
INOXLEISUR,Buy,08/02/10,79.00,525
INOXLEISUR,Buy,08/02/10,76.90,140
AXISCADES,Buy,10/02/10,68.00,13
JAICORPLTD,Buy,10/02/10,281.60,136
INOXLEISUR,Sell,15/02/10,73.44,665
TWL,Buy,15/02/10,474.40,100
SPANCO,Sell,16/02/10,85.65,1050
KRBL,Sell,16/02/10,26.35,2000
JAICORPLTD,Sell,16/02/10,257.50,136
TWL,Buy,16/02/10,462.80,180
JKCEMENT,Buy,17/02/10,192.98,1800
JKCEMENT,Sell,17/02/10,188.40,1800
AXISCADES,Sell,17/02/10,65.05,13
HONAUT,Buy,17/02/10,2330.89,34
TWL,Sell,22/02/10,417.00,280
HONAUT,Sell,22/02/10,2375.00,34
TWL,Sell,22/02/10,403.43,1000
TWL,Sell,22/02/10,401.21,400
TWL,Buy,22/02/10,411.50,1400
STER,Buy,02/03/10,800.00,25
FORTIS,Buy,02/03/10,160.55,125
TATAMOTORS,Buy,02/03/10,772.00,26
INGVYSYABK,Buy,02/03/10,261.00,55
STRTECH,Buy,02/03/10,416.00,36
CLUTCHAUTO,Buy,03/03/10,67.00,300
JKCEMENT,Buy,03/03/10,186.30,85
INGVYSYABK,Sell,08/03/10,281.10,55
HINDMOTORS,Buy,08/03/10,24.60,700
STRTECH,Sell,08/03/10,433.40,36
SPICEMOBI,Buy,08/03/10,44.85,345
HINDMOTORS,Sell,11/03/10,22.60,700
CLUTCHAUTO,Sell,15/03/10,66.22,300
FORTIS,Buy,15/03/10,179.00,105
UMESLTD,Buy,15/03/10,31.00,85
526899,Buy,16/03/10,35.85,20
SPICEMOBI,Sell,18/03/10,44.19,345
STER,Sell,18/03/10,831.51,25
ENGINERSIN,Buy,18/03/10,2402.32,10
KRBL,Buy,18/03/10,26.40,425
526899,Sell,19/03/10,34.70,21
UMESLTD,Sell,19/03/10,36.70,80
JKCEMENT,Sell,23/03/10,184.00,85
UMESLTD,Buy,25/03/10,44.75,430
ENGINERSIN,Sell,29/03/10,2336.00,2
KGL,Buy,29/03/10,19.00,900
KRBL,Sell,31/03/10,23.45,425
KGL,Sell,31/03/10,18.00,900
SPANCO,Buy,05/04/10,84.15,320
FORTIS,Sell,06/04/10,176.50,230
AXISCADES,Buy,07/04/10,81.60,245
CENTEXT,Buy,07/04/10,12.89,1555
531952,Buy,07/04/10,17.13,1111
531952,Buy,12/04/10,15.15,34
CENTEXT,Sell,13/04/10,13.68,1555
531952,Sell,13/04/10,14.64,1111
524719,Buy,20/04/10,4.73,2000
AXISCADES,Buy,20/04/10,77.70,165
UNIMIN,Buy,20/04/10,15.00,1000
DHANBANK,Buy,26/04/10,152.35,130
UMESLTD,Sell,27/04/10,47.40,435
514450,Buy,28/04/10,173.50,115
514450,Sell,03/05/10,175.00,115
MEUKAR,Buy,04/05/10,24.00,800
SPANCO,Sell,05/05/10,114.52,320
AXISCADES,Sell,05/05/10,70.00,410
UNIMIN,Sell,05/05/10,11.30,50
UNIMIN,Sell,05/05/10,11.30,50
UNIMIN,Sell,05/05/10,11.40,500
UNIMIN,Sell,05/05/10,11.50,400
TATAMOTORS,Sell,05/05/10,830.10,26
DHANBANK,Sell,05/05/10,142.70,130
ENGINERSIN,Sell,05/05/10,2261.00,8
524719,Sell,06/05/10,6.04,2000
BANKRAJAS,Buy,06/05/10,94.00,800
BANKRAJAS,Buy,06/05/10,95.00,1000
BANKRAJAS,Buy,06/05/10,93.20,500
BANKRAJAS,Sell,06/05/10,92.30,2300
SPANCO,Buy,10/05/10,115.50,520
GRAPHITE,Buy,10/05/10,98.20,200
TATAMOTORS,Buy,11/05/10,807.00,18
CLUTCHAUTO,Buy,11/05/10,67.35,220
TRIL,Buy,11/05/10,417.00,36
MERCATOR,Buy,11/05/10,54.55,280
UBENGG,Buy,11/05/10,181.50,82
DHANBANK,Buy,11/05/10,146.90,135
TIMESGTY,Buy,14/05/10,159.00,65
531555,Buy,14/05/10,57.90,200
MEUKAR,Sell,19/05/10,19.00,800
531952,Buy,20/05/10,12.60,158
SPANCO,Sell,21/05/10,106.80,100
SPANCO,Sell,21/05/10,108.00,100
SPANCO,Sell,21/05/10,107.60,100
SPANCO,Sell,21/05/10,107.50,200
TATAMOTORS,Sell,21/05/10,680.00,18
CLUTCHAUTO,Sell,21/05/10,56.75,220
MERCATOR,Sell,21/05/10,47.70,280
531555,Buy,24/05/10,51.10,100
SPANCO,Buy,24/05/10,115.35,800
EMPEESUG,Buy,16/06/10,46.60,225
NOVARTIND,Buy,16/06/10,680.00,35
531952,Sell,16/06/10,11.80,192
RPOWER,Buy,16/06/10,177.15,85
531555,Sell,18/06/10,47.68,300
UPL,Buy,18/06/10,193.45,25
HONAUT,Buy,21/06/10,2919.95,4
HONAUT,Buy,24/06/10,2779.05,1
TIMESGTY,Sell,30/06/10,114.50,65
519566,Buy,30/06/10,51.00,140
DHANBANK,Sell,30/06/10,183.75,135
RALLIS,Buy,05/07/10,1114.00,11
HONAUT,Buy,05/07/10,2996.00,4
GRAPHITE,Sell,13/07/10,105.70,200
PANASONIC,Buy,14/07/10,226.00,110
UPL,Sell,20/07/10,175.70,25
519566,Buy,21/07/10,51.85,80
RALLIS,Sell,27/07/10,1214.00,11
UBENGG,Sell,27/07/10,196.00,82
WHIRLPOOL,Buy,28/07/10,281.00,100
RPOWER,Sell,02/08/10,162.30,85
VIPIND,Buy,04/08/10,468.00,47
TRIL,Sell,10/08/10,406.00,36
EMPEESUG,Buy,11/08/10,64.48,220
SPANCO,Sell,11/08/10,98.00,600
TI,Buy,12/08/10,238.00,50
KTKBANK,Buy,16/08/10,177.50,55
KTKBANK,Sell,23/08/10,172.50,55
JVLAGRO,Buy,24/08/10,445.70,21
HONAUT,Sell,26/08/10,2449.78,9
519566,Buy,27/08/10,59.70,80
SPANCO,Sell,30/08/10,94.54,220
NOVARTIND,Sell,08/09/10,654.15,35
AXISCADES,Buy,09/09/10,142.00,158
513693,Buy,15/09/10,298.50,50
SATYAMCOMP,Buy,23/09/10,111.50,130
WHIRLPOOL,Sell,23/09/10,296.00,80
SATYAMCOMP,Buy,23/09/10,111.00,215
ORCHIDPHAR,Buy,04/10/10,281.70,70
TATAMOTORS,Buy,04/10/10,1134.20,17
NAVNETEDUL,Buy,06/10/10,72.50,135
KFA,Buy,06/10/10,78.00,130
ORIENTBANK,Buy,07/10/10,510.00,40
EMPEESUG,Sell,08/10/10,63.58,445
VIPIND,Sell,08/10/10,618.45,47
