date,3. low,1. open,2. high,4. close,6. volume,5. adjusted close,8. split coefficient,7. dividend amount
2002-07-01,4.42,4.42,4.98,4.78,199135.0,2.0949,1.0,0.0
2002-07-02,4.61,4.61,5.06,4.78,338845.0,2.0949,1.0,0.0
2002-07-03,4.62,4.8,4.95,4.74,130320.0,2.0773,1.0,0.0
2002-07-04,4.7,4.93,4.93,4.72,71825.0,2.0686,1.0,0.0
2002-07-05,4.6,4.6,4.85,4.7,112530.0,2.0598,1.0,0.0
2002-07-08,4.46,4.46,5.27,5.08,470650.0,2.2263,1.0,0.0
2002-07-09,4.9,5.16,5.25,4.95,274700.0,2.1694,1.0,0.0
2002-07-10,4.85,5.05,5.05,4.9,81155.0,2.1474,1.0,0.0
2002-07-11,4.75,4.8,4.93,4.77,46685.0,2.0905,1.0,0.0
2002-07-12,4.75,4.8,4.89,4.78,47005.0,2.0949,1.0,0.0
2002-07-15,4.6,4.95,4.95,4.62,47050.0,2.0247,1.0,0.0
2002-07-16,4.55,4.66,4.66,4.56,26750.0,1.9984,1.0,0.0
2002-07-17,4.34,4.43,4.6,4.36,34880.0,1.9108,1.0,0.0
2002-07-18,4.36,4.36,4.49,4.44,14500.0,1.9458,1.0,0.0
2002-07-19,4.4,4.42,4.53,4.42,12230.0,1.9371,1.0,0.0
2002-07-22,4.22,4.4,4.4,4.23,25295.0,1.8538,1.0,0.0
2002-07-23,4.25,4.25,4.39,4.32,34580.0,1.8933,1.0,0.0
2002-07-24,4.32,4.38,4.47,4.4,50100.0,1.9283,1.0,0.0
2002-07-25,4.36,4.51,4.51,4.41,47500.0,1.9327,1.0,0.0
2002-07-26,4.13,4.4,4.4,4.19,39000.0,1.8363,1.0,0.0
2002-07-29,4.01,4.14,4.19,4.07,38120.0,1.7837,1.0,0.0
2002-07-30,4.08,4.2,4.23,4.11,24800.0,1.8012,1.0,0.0
2002-07-31,3.96,4.02,4.1,4.04,40125.0,1.7705,1.0,0.0
2002-08-01,4.04,4.05,4.18,4.14,10225.0,1.8144,1.0,0.0
2002-08-02,4.03,4.1,4.17,4.1,6260.0,1.7968,1.0,0.0
2002-08-05,4.06,4.15,4.19,4.15,5515.0,1.8188,1.0,0.0
2002-08-06,4.0,4.14,4.16,4.16,36570.0,1.8231,1.0,0.0
2002-08-07,3.98,4.14,4.14,4.1,69000.0,1.7968,1.0,0.0
2002-08-08,4.08,4.1,4.18,4.1,31200.0,1.7968,1.0,0.0
2002-08-09,4.05,4.05,4.17,4.11,13670.0,1.8012,1.0,0.0
2002-08-12,4.04,4.13,4.19,4.13,7250.0,1.81,1.0,0.0
2002-08-13,4.05,4.12,4.12,4.05,10750.0,1.7749,1.0,0.0
2002-08-14,4.01,4.03,4.15,4.14,9000.0,1.8144,1.0,0.0
2002-08-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-08-16,4.07,4.07,4.22,4.2,19750.0,1.8407,1.0,0.0
2002-08-19,4.16,4.16,4.31,4.18,9090.0,1.8319,1.0,0.0
2002-08-20,4.12,4.18,4.26,4.24,10420.0,1.8582,1.0,0.0
2002-08-21,4.21,4.22,4.25,4.25,4000.0,1.8626,1.0,0.0
2002-08-22,4.14,4.14,4.25,4.18,11300.0,1.8319,1.0,0.0
2002-08-23,4.15,4.15,4.28,4.23,5000.0,1.8538,1.0,0.0
2002-08-26,4.01,4.01,4.4,4.37,73890.0,1.9152,1.0,0.0
2002-08-27,4.25,4.28,4.31,4.27,12490.0,1.8713,1.0,0.0
2002-08-28,4.2,4.2,4.33,4.3,31300.0,1.8845,1.0,0.0
2002-08-29,4.25,4.28,4.3,4.3,8770.0,1.8845,1.0,0.0
2002-08-30,4.22,4.26,4.3,4.25,19750.0,1.8626,1.0,0.0
2002-09-02,4.1,4.1,4.32,4.29,22340.0,1.8801,1.0,0.0
2002-09-03,3.86,4.1,4.1,4.02,43150.0,1.7618,1.0,0.0
2002-09-04,3.83,3.85,3.93,3.89,13510.0,1.7048,1.0,0.0
2002-09-05,3.86,3.88,3.92,3.87,4225.0,1.696,1.0,0.0
2002-09-06,3.78,3.92,3.99,3.84,17250.0,1.6829,1.0,0.0
2002-09-09,3.74,3.8,3.8,3.8,10125.0,1.6654,1.0,0.0
2002-09-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2002-09-11,3.73,3.79,3.8,3.78,8250.0,1.6566,1.0,0.0
2002-09-12,3.7,3.71,3.8,3.77,10060.0,1.6522,1.0,0.0
